ranking,title,audience_count,audience_score,critic_count,critic_score,movie_rating,url,year_of_release,box_office_mil_usd
1,Black Panther ,88211,79,525,96,PG-13,https://www.rottentomatoes.com/m/black_panther_2018/,2018,700.2
2,Lady Bird ,22958,79,398,99,R,https://www.rottentomatoes.com/m/lady_bird/,2017,48.9
3,Mission: Impossible -- Fallout,16444,88,435,97,PG-13,https://www.rottentomatoes.com/m/mission_impossible_fallout/,2018,220.1
4,Blackkklansman ,11656,83,446,96,R,https://www.rottentomatoes.com/m/blackkklansman/,2018,48.6
5,Get Out ,76104,86,397,98,R,https://www.rottentomatoes.com/m/get_out/,2017,176.0
6,Mad Max: Fury Road ,128828,86,427,97,R,https://www.rottentomatoes.com/m/mad_max_fury_road/,2015,153.6
7,Spider-Man: Into The Spider-Verse,21106,93,391,97,PG,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse/,2018,190.2
8,Moonlight ,45817,79,390,98,R,https://www.rottentomatoes.com/m/moonlight_2016/,2016,27.9
9,Wonder Woman ,134417,83,468,93,PG-13,https://www.rottentomatoes.com/m/wonder_woman_2017/,2017,412.8
10,A Star Is Born ,20872,79,525,90,R,https://www.rottentomatoes.com/m/a_star_is_born_2018/,2018,215.3
11,A Quiet Place ,24198,83,387,96,PG-13,https://www.rottentomatoes.com/m/a_quiet_place_2018/,2018,68.4
12,Inside Out ,137168,89,374,98,PG,https://www.rottentomatoes.com/m/inside_out_2015/,2015,2.0
13,Dunkirk ,69190,81,461,92,PG-13,https://www.rottentomatoes.com/m/dunkirk_2017/,2017,188.0
14,Coco ,28459,94,351,97,PG,https://www.rottentomatoes.com/m/coco_2017/,2017,210.5
15,The Shape Of Water ,26062,72,459,92,R,https://www.rottentomatoes.com/m/the_shape_of_water_2017/,2017,63.3
16,Thor: Ragnarok ,95483,87,435,93,PG-13,https://www.rottentomatoes.com/m/thor_ragnarok_2017/,2017,315.0
17,Selma ,61559,86,313,99,PG-13,https://www.rottentomatoes.com/m/selma/,2014,52.1
18,Arrival ,83739,82,434,94,PG-13,https://www.rottentomatoes.com/m/arrival_2016/,2016,100.5
19,Logan ,93214,90,421,93,R,https://www.rottentomatoes.com/m/logan_2017/,2017,226.3
20,Star Wars: The Last Jedi ,224249,42,479,90,PG-13,https://www.rottentomatoes.com/m/star_wars_the_last_jedi/,2017,620.2
21,The Big Sick ,32916,88,303,98,R,https://www.rottentomatoes.com/m/the_big_sick/,2017,42.9
22,Star Wars: The Force Awakens ,235718,85,443,93,PG-13,https://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens/,2015,247.0
23,Boyhood ,89849,80,327,97,R,https://www.rottentomatoes.com/m/boyhood/,2014,25.4
24,Gravity ,303343,80,356,96,PG-13,https://www.rottentomatoes.com/m/gravity_2013/,2013,274.1
25,12 Years A Slave ,140502,90,373,95,R,https://www.rottentomatoes.com/m/12_years_a_slave/,2013,56.7
26,Leave No Trace ,4947,80,239,100,PG,https://www.rottentomatoes.com/m/leave_no_trace/,2018,6.0
27,Manchester By The Sea ,50368,78,351,96,R,https://www.rottentomatoes.com/m/manchester_by_the_sea/,2016,47.7
28,La La Land ,71688,81,464,91,PG-13,https://www.rottentomatoes.com/m/la_la_land/,2016,151.1
29,Incredibles 2 ,18748,84,384,93,PG,https://www.rottentomatoes.com/m/incredibles_2/,2018,608.6
30,Zootopia ,101783,92,294,98,PG,https://www.rottentomatoes.com/m/zootopia/,2016,608.6
31,War For The Planet Of The Apes ,57154,84,360,94,PG-13,https://www.rottentomatoes.com/m/war_for_the_planet_of_the_apes/,2017,146.8
32,Paddington 2 ,8725,87,246,99,PG,https://www.rottentomatoes.com/m/paddington_2/,2017,38.4
33,The Florida Project ,13510,80,313,96,R,https://www.rottentomatoes.com/m/the_florida_project/,2017,5.8
34,Widows ,5407,61,418,91,R,https://www.rottentomatoes.com/m/widows_2018/,2018,42.4
35,Baby Driver ,63576,86,394,92,R,https://www.rottentomatoes.com/m/baby_driver/,2017,107.8
36,Spider-Man: Homecoming,108811,87,393,92,PG-13,https://www.rottentomatoes.com/m/spider_man_homecoming/,2017,334.4
37,Toy Story 3 ,607806,90,309,98,G,https://www.rottentomatoes.com/m/toy_story_3/,2010,415.0
38,"Three Billboards Outside Ebbing, Missouri ",23199,87,409,90,R,https://www.rottentomatoes.com/m/three_billboards_outside_ebbing_missouri/,2017,54.1
39,Brooklyn ,46912,87,275,97,PG-13,https://www.rottentomatoes.com/m/brooklyn/,2015,38.3
40,Finding Dory ,182189,84,334,94,PG,https://www.rottentomatoes.com/m/finding_dory/,2016,486.2
41,Creed ,76243,89,311,95,PG-13,https://www.rottentomatoes.com/m/creed_2015/,2015,109.7
42,Blade Runner 2049 ,51454,81,441,88,R,https://www.rottentomatoes.com/m/blade_runner_2049/,2017,91.5
43,Hell Or High Water ,40241,88,282,96,R,https://www.rottentomatoes.com/m/hell_or_high_water/,2016,27.0
